         LEXEME     LINENO           TOKEN           VALUE          PARENT_NODE    IS_LEAF            CURR_NODE
--------------------------------------------------------------------------------------------------------------------------------
        EPSILON          0         EPSILON            ----   moduleDeclarations        YES                 ----
           ----       ----            ----            ----              program         NO   moduleDeclarations
           ----       ----            ----            ----                 ROOT         NO              program
        EPSILON          0         EPSILON            ----         otherModules        YES                 ----
           ----       ----            ----            ----              program         NO         otherModules
            <<<          1       DRIVERDEF            ----         driverModule        YES                 ----
           ----       ----            ----            ----              program         NO         driverModule
         driver          1          DRIVER            ----         driverModule        YES                 ----
        program          1         PROGRAM            ----         driverModule        YES                 ----
            >>>          1    DRIVERENDDEF            ----         driverModule        YES                 ----
          start          2           START            ----            moduleDef        YES                 ----
           ----       ----            ----            ----         driverModule         NO            moduleDef
        declare          3         DECLARE            ----          declareStmt        YES                 ----
           ----       ----            ----            ----            statement         NO          declareStmt
        v_1_2_3          3              ID            ----               idList        YES                 ----
           ----       ----            ----            ----          declareStmt         NO               idList
        EPSILON          0         EPSILON            ----              idList2        YES                 ----
           ----       ----            ----            ----               idList         NO              idList2
              :          3           COLON            ----          declareStmt        YES                 ----
        integer          3         INTEGER            ----             dataType        YES                 ----
           ----       ----            ----            ----          declareStmt         NO             dataType
              ;          3         SEMICOL            ----          declareStmt        YES                 ----
           ----       ----            ----            ----           statements         NO            statement
           ----       ----            ----            ----            moduleDef         NO           statements
        declare          4         DECLARE            ----          declareStmt        YES                 ----
           ----       ----            ----            ----            statement         NO          declareStmt
              y          4              ID            ----               idList        YES                 ----
           ----       ----            ----            ----          declareStmt         NO               idList
        EPSILON          0         EPSILON            ----              idList2        YES                 ----
           ----       ----            ----            ----               idList         NO              idList2
              :          4           COLON            ----          declareStmt        YES                 ----
          array          4           ARRAY            ----             dataType        YES                 ----
           ----       ----            ----            ----          declareStmt         NO             dataType
              [          4            SQBO            ----             dataType        YES                 ----
              8          4             NUM               8               range1        YES                 ----
           ----       ----            ----            ----             dataType         NO               range1
             ..          4         RANGEOP            ----               range1        YES                 ----
             10          4             NUM              10                index        YES                 ----
           ----       ----            ----            ----               range1         NO                index
              ]          4            SQBC            ----             dataType        YES                 ----
             of          4              OF            ----             dataType        YES                 ----
        integer          4         INTEGER            ----                 type        YES                 ----
           ----       ----            ----            ----             dataType         NO                 type
              ;          4         SEMICOL            ----          declareStmt        YES                 ----
           ----       ----            ----            ----           statements         NO            statement
           ----       ----            ----            ----           statements         NO           statements
      get_value          5       GET_VALUE            ----               ioStmt        YES                 ----
           ----       ----            ----            ----            statement         NO               ioStmt
              (          5              BO            ----               ioStmt        YES                 ----
              y          5              ID            ----               ioStmt        YES                 ----
              )          5              BC            ----               ioStmt        YES                 ----
              ;          5         SEMICOL            ----               ioStmt        YES                 ----
           ----       ----            ----            ----           statements         NO            statement
           ----       ----            ----            ----           statements         NO           statements
        EPSILON          0         EPSILON            ----           statements        YES                 ----
           ----       ----            ----            ----           statements         NO           statements
            end          6             END            ----            moduleDef        YES                 ----
        EPSILON          0         EPSILON            ----         otherModules        YES                 ----
           ----       ----            ----            ----              program         NO         otherModules
